没有视频信号。	méiyǒu shìpín xìnhào	There is no video signal.	7
这药没有效力。	zhè yào méiyǒu xiàolì	The drug was of no effect.	7
春天嫩芽初绽。	chūntiān nènyá chū zhàn	The new buds appear in the spring.	7
鸡尾酒杯；鸡尾酒会	jīwěijiǔ bēi jīwěijiǔ huì	A cocktail glass; a cocktail party.	7
那辆火车三点钟准时到达。	nà liàng huǒchē sān diǎnzhōng zhǔnshí dàodá	The train arrived on the dot of three o’clock.	7
冬天多数虫子作茧。	dōngtiān duōshù chóngzi zuòjiǎn	Most worms cocoon in winter.	7
那镇位於伦敦南面。	nà zhèn wèiyú Lúndūn nánmiàn	The town is to the south of (ie situated further south than) London.	7
圆环沿人行道滚动。	yuánhuán yán rénxíngdào gǔndòng	The hoop rolled along the pavement.	7
松鼠储藏坚果以防冬天。	sōngshǔ chǔcáng jiānguǒ yǐfáng dōngtiān	The squirrel hoards up nuts for the winter.	7
公社社员们正忙着收割庄稼。	gōngshè shèyuán men zhèng mángzhe shōugē zhuāngjia	The commune members were busy getting in the crops.	7
他读三年级。	tā dú sān niánjí	He is in the third grade.	7
那个外交官很胖。	nàge wàijiāoguān hěn pàng	The diplomat is over weight.	7
每个人有一对肾脏。	měigerén yǒu yīduì shènzàng	Each man has a pair of kidneys.	7
祝您新年快乐！	zhù nín xīnniánkuàilè	A happy new year to you！	7
那个犯人无人看守。	nàge fànrén wúrén kānshǒu	The prisoner was left unguarded.	7
大门太窄，汽车进不去。	dàmén tài zhǎi qìchē jìn bù qù	The gate is too narrow for a car.	7
要么进来，要么出去。	yàome jìnlái yàome chūqù	Either come in or go out.	7
这个小男孩能够数到一千。	zhège xiǎo nánhái nénggòu shǔ dào yī qiān	The little boy can count up to a thousand.	7
热带地区黑夜来得很快。	rèdàidìqū hēiyè lái dehěn kuài	Night descends quickly in the tropics.	7
这水不宜饮用。	zhè shuǐ bùyí yǐnyòng	The water is unfit for drinking.	7
水从洞口流出。	shuǐ cóng dòngkǒu liúchū	Water sluiced out of the hole.	7
人皆有一死。	rén jiē yǒu yī sǐ	All men must die.	7
祝您一路平安！	zhù nín yīlùpíng’ān	A happy journey to you！	7
百花齐放，万紫千红。	bǎihuāqífàng wànzǐqiānhóng	Flowers are blooming in a riot of color.	7
别忘了锁门。	bié wàng le suǒmén	Don’t omit locking the door.	7
这块糕饼好极了。	zhè kuài gāobǐng hǎo jíle	This cake is heavenly.	7
那个晚会真是激动人心。	nàge wǎnhuì zhēnshi jīdòng rénxīn	That party is only too exciting.	7
那个掸子很脏。	nàge dǎnzi hěn zāng	That duster is very dirty.	7
这本新书名叫《爱情故事》。	zhè běn xīn shūmíng jiào àiqíng gùshi	The new book is entitled Love Story.	7
那匹马赢定了。	nà pǐ mǎ yíng dìng le	That horse is a certainty.	7
大雨过后，下水道溢出水来。	dàyǔ guòhòu xiàshuǐdào yìchū shuǐ lái	The drains overflowed after the heavy rain.	7
桌上有个水果盘。	zhuō shàng yǒu gè shuǐguǒ pán	There is a fruit bowl on the table.	7
这狗长虫子。	zhè gǒu cháng chóngzi	The dog has worms.	7
他常去那个教堂做礼拜。	tā cháng qù nàge jiàotáng zuòlǐbài	He is a regular worshiper at that church.	7
丁香盛开着。	dīngxiāng shèngkāi zhe	The clove is in full bloom.	7
