他的外套和裤子不相配。	tā de wàitào hé kùzi bù xiāngpèi	His coat is not in keeping with the trousers.	3
我到那里去理发。	wǒ dào nàli qù lǐfà	I go there for a haircut.	3
他的英语有进步。	tā de Yīngyǔ yǒu jìnbù	He is forward in his English.	3
你应该经常清理房间。	nǐ yīnggāi jīngcháng qīnglǐ fángjiān	You should always clean up the room.	3
看，你这是往哪里走？差点儿把我撞倒了	kàn nǐ zhè shì wǎng nǎlǐ zǒu chàdiǎnr bǎ wǒ zhuàngdǎo le	Can’t you look where you’re going? You nearly knocked me over！	3
你说的有几分是真实的。	nǐ shuō de yǒu jǐfēn shì zhēnshí de	What you say is partly true.	3
她一直想成名。	tā yīzhí xiǎng chéngmíng	She has always been desirous of fame.	3
请跟我说实话。	qǐng gēn wǒ shuōshíhuà	Be kind enough to tell me the truth.	3
咱们去吃点冰淇淋凉快凉快吧。	zánmen qù chī diǎn bīngqílín liángkuai liángkuai ba	Let’s go and have icecream to cool off.	3
蛋糕发起来了。	dàngāo fā qilai le	The cake bulked up.	3
教堂在学校附近。	jiàotáng zài xuéxiào fùjìn	The church is close to the school.	3
他有音乐天赋。	tā yǒu yīnyuè tiānfù	He has a gift for music.	3
她除了他以外没有好朋友。	tā chúle tā yǐwài méiyǒu hǎopéngyou	She has no close friends other than him.	3
她要养活一大家人。	tā yào yǎnghuo yī dàjiā rén	She has a large family to feed.	3
她洁白的脸和她黑色的衣服形成强烈的对比。	tā jiébái de liǎn hé tā hēisè de yīfu xíngchéng qiángliè de duìbǐ	Her white face and her dark dress contrast sharply.	3
我和她长谈了一次。	wǒ hé tā chángtán le yīcì	I had a long talk with her.	3
那边的那个人是谁？	nàbian de nàgèrén shì shéi	Who is that over there?	3
你太过分了！	nǐ tàiguò fēn le	You’ve gone too far！	3
你能借给我五美元吗？	nǐ néng jiègěi wǒ wǔ Měiyuán ma	Can you lend me five dollars?	3
我想我不要独自一人去。	wǒ xiǎng wǒ bùyào dúzì yī rén qù	I don’t think I will go alone.	3
我昨天买了好几本书。	wǒ zuótiān mǎi le hǎojǐ běn shū	I bought several books yesterday.	3
怕这怕那的人是软弱的人。	pà zhè pà nà de rén shì ruǎnruò de rén	A fearful person is a weak person.	3
他为什么到那里去，这对我来说是个谜。	tā wèishénme dào nàli qù zhè duìwǒláishuō shì gè mèi	Why he went there is a mystery to me.	3
那是我听到的最愚蠢的事！	nàshi wǒ tīngdào de zuì yúchǔn de shì	That’s the stupidest thing I’ve ever heard！	3
我的背疼得要命。	wǒ de bèi téng dé yàomìng	My back is killing me.	3
别听他的种种藉口，他在撒谎。	bié tīng tā de zhǒngzhǒng jièkǒu tā zài sāhuǎng	Don’t listen to his pretences; he is lying.	3
总的来说，我很喜欢这本书。	zǒngdeláishuō wǒ hěn xǐhuan zhè běn shū	On the whole, I like the book very much.	3
天气很冷，不是吗？	tiānqì hěn lěng bùshìma	Cold weather, isn’t it?	3
除我之外，他们都去睡觉了。	chú wǒ zhīwài tāmen dōu qù shuìjiào le	They all went to sleep except me.	3
你看见那边的一丛树林了吗？	nǐ kànjiàn nàbian de yī cóng shùlín le ma	Do you see yonder clump of trees (ie that clump of trees over there)?	3
她急忙去银行了。	tā jímáng qù yínháng le	She has nipped out to the bank.	3
