那里是赤道气候。	nàli shì chìdào qìhòu	There is an equatorial climate.	5
吃饭前，我必须洗手。	chīfàn qián wǒ bìxū xǐshǒu	I must wash my hands before dinner.	5
游客们开车向西北而去。	yóukè men kāichē xiàng xīběi ér qù	The tourists drove northwest.	5
我没有零钱。	wǒ méiyǒu língqián	I’ve no small change.	5
这真的没有必要。	zhè zhēn de méiyǒu bìyào	That’s really not necessary.	5
她说她从来不做梦。	tā shuō tā cóngláibù zuòmèng	She claims she never dreams.	5
我好久没有见到查理了。	wǒ hǎojiǔ méiyǒu jiàndào chá lǐ le	I haven’t seen Charlie for a dog’s age.	5
这些锅上有蓝色的搪瓷。	zhèxiē guō shàng yǒu lánsè de tángcí	The pots are made with blue enamel.	5
我不幸错过了末班火车。	wǒ bùxìng cuòguò le mò bān huǒchē	Unfortunately, I missed the last train.	5
她说的话听起来有点儿虚伪。	tā shuō dehuà tīngqilai yǒudiǎnr xūwěi	Her remarks savour of hypocrisy.	5
我每天早晨吃一碗麦片粥。	wǒ měitiān zǎochén chī yī wǎn màipiàn zhōu	I have a bowl of cereal every morning.	5
她每天早晨都梳辫子。	tā měitiān zǎochén dōu shū biànzi	She braids her hair every morning.	5
他用叉子叉肉。	tā yòng chāzi chā ròu	He stabbed the meat with his fork/stabbed his fork into the meat.	5
飞机没有沿通常的商业航线飞。	fēijī méiyǒu yán tōngcháng de shāngyè hángxiàn fēi	The plane did not fly the usual commercial route.	5
我们打棒球如何？	wǒmen dǎ bàngqiú rúhé	Suppose we play baseball.	5
不应该在梯子下面穿过， 人们都是这麽说说罢了。	bù yīnggāi zài tīzi xiàmian chuānguò rénmen dōu shì zhème shuōshuo bàle	It’s just (a) superstition that you shouldn’t walk under ladders.	5
他雪天出门，裹着厚厚的围巾，穿着暖和的大衣。	tā xuě tiān chūmén guǒ zhe hòu hòu de wéijīn chuānzhuó nuǎnhuo de dàyī	He walked out into the snow, heavily muffled up in a thick scarf and warm overcoat.	5
他出事后重新学习走路要有极大的毅力。	tā chū shìhòu chóngxīn xuéxí zǒulù yàoyǒu jídà de yìlì	Learning to walk again after his accident required great patience.	5
我每天打壁球，一个星期体重减轻了十磅。	wǒ měitiān dǎ bìqiú yī gè xīngqī tǐzhòng jiǎnqīng le shí bàng	I sweated off ten pounds in a week by playing squash every day.	5
我们星期六的午饭总有一道油煎菜。	wǒmen Xīngqīliù de wǔfàn zǒngyǒu yīdào yóu jiān cài	We always have a fry-up for Saturday lunch.	5
