不要大家一齐说！	bùyào dàjiā yīqí shuō	Don’t all speak at once！	6
这里说的话必须保密。	zhèlǐ shuō dehuà bìxū bǎomì	Whatever is said here must be kept secret.	6
足球队输球后球迷们在街上聚众闹事。	zúqiúduì shū qiú hòu qiúmí men zài jiēshang jùzhòng nàoshì	The football supporters ran riot through the town after the defeat of their team.	6
她穿着一件黑色丝质晚礼服。	tā chuānzhuó yī jiàn hēisè sī zhì wǎnlǐfú	She wore a black silk evening gown.	6
我很後悔不该说那话。	wǒ hěn hòuhuǐ bùgāi shuō nà huà	I regret what I said.	6
哨兵们都已各就各位。	shàobīng men dōu yǐ gè jiù gèwèi	The sentries are all at their posts.	6
村民们撑起摇摇欲坠的茅棚。	cūnmín men chēng qǐ yáoyáoyùzhuì de máopéng	The villagers shored up sagging huts.	6
标枪在空中沿曲线运动。	biāoqiāng zài kōngzhōng yán qūxiàn yùndòng	The spear curved through the air.	6
有些新车在投放市场前没有进行行驶性检验。	yǒuxiē xīn chē zài tóufàngshìchǎng qián méiyǒu jìnxíng xíngshǐ xìng jiǎnyàn	Some new cars are not given road tests before they are put on the market.	6
出版商们总吹捧他们的新书	chūbǎnshāng men zǒng chuīpěng tāmen de xīn shū	Publishers who puff their new books.	6
侵略军在那里横行霸道，杀人放火，抢劫财物。	qīnlüèjūn zài nàli héngxíngbàdào shārénfànghuǒ qiǎngjié cáiwù	The invading troops rampaged about in the area, killing, burning and looting.	6
工人们正在道路下面铺设管道。	gōng rénmen zhèngzài dàolù xiàmian pūshè guǎndào	The workers are laying pipes under the road.	6
这个城市没有盗贼。	zhège chéngshì méiyǒu dàozéi	This city is free from thieves.	6
伤口用绷带包扎着。	shāngkǒu yòng bēngdài bāozā zhe	The wound was bound up by bandage.	6
有些小炊具非但没有用处反而碍事。	yǒuxiē xiǎo chuījù fēidàn méiyǒu yòngchu fǎn’ér àishì	Some kitchen gadgets are more of a hindrance than a help.	6
火车缓缓地进站。	huǒchē huǎnhuǎn dì jìn zhàn	The train slowly came to the station.	6
碰巧在附近有个公用电话亭。	pèngqiǎo zài fùjìn yǒu gè gōngyòngdiànhuà tíng	It happened that there was a telephone booth nearby.	6
【谚】一根筷子易折断，十根筷子硬如铁。	yàn yī gēn kuàizi yì zhéduàn shí gēn kuàizi yìng rú tiě	Weak things united become strong.	6
那条街经常交通阻塞。	nà tiáo jiē jīngcháng jiāotōngzǔsè	There is always traffic congestion in that street.	6
用混凝土砌砖。	yòng hùnníngtǔ qìzhuān	The bricks are bedded in concrete.	6
我登台演出前总要温习一下台词。	wǒ dēng tái yǎnchū qián zǒngyào wēnxí yīxià táicí	I always run over my lines before going on stage.	6
这种新药还没有投放市场。	zhèzhǒng xīn yào hái méiyǒu tóufàngshìchǎng	This new drug is not yet commercially available.	6
雨水从树上滴下。	Yǔshuǐ cóng shù shàng dīxià	Rain was dripping (down) from the trees.	6
冷天出门时要披上披肩。	lěngtiān chūmén shí yào pī shàng pījiān	You should put a robe on if you go out in a cold day.	6
酒存放得越久越醇。	jiǔ cúnfàng dé yuè jiǔ yuè chún	Wine improves with age.	6
这种豌豆长着长豆荚。	zhèzhǒng wāndòu cháng zhe cháng dòujiá	This kind of pea has a long pod.	6
这种新型空调没有噪音。	zhèzhǒng xīnxíng kōngtiáo méiyǒu zàoyīn	This new style of air conditioner is noiseless.	6
这个病人应该隔离。	zhège bìngrén yīnggāi gélí	This patient should be separated from the others.	6
这些药丸可以止痛。	zhèxiē yàowán kěyǐ zhǐtòng	These pills bring relief from pain.	6
他们集资到一大笔款子。	tāmen jízī dào yī dà bǐ kuǎnzi	They clubbed together a large sum.	6
炭笔画用这种炭笔画成的速描或画	tàn bǐhuà yòng zhèzhǒng tàn bǐhuà chéng de sù miáo huò huà	A sketch or drawing made with this charcoal.	6
愿主赐福于你们大家。	yuàn zhǔ cìfú yú nǐmen dàjiā	The blessing of the Lord be upon you all.	6
花岗伟晶岩一种有时富含铀、钨和钽等稀有元素的粗纹理花岗岩	huā gǎng wěijīngyán yīzhǒng yǒushí fù hán yóu wū hé tǎn děng xīyǒuyuánsù de cū wénlǐ huāgāngyán	A coarse-grained granite, sometimes rich in rare elements such as uranium, tungsten, and tantalum.	6
商人向他们供应货物。	shāngrén xiàng tāmen gōngyìng huòwù	The merchant supplies goods to them.	6
壁炉凸出在外，伸入房间。	bìlú tūchū zàiwài shēn rù fángjiān	The fireplace came out into the room.	6
【谚】先还债，后慷慨。	yàn xiān huánzhài hòu kāngkǎi	Be just before you are generous.	6
战士们发誓战斗到底。	zhànshì men fāshì zhàndòu dàodǐ	The soldiers swore to fight it out.	6
抽彩仪式星期六举行。	chōu cǎi yíshì Xīngqīliù jǔxíng	The draw for the raffle takes place on Saturday.	6
货款可以分期支付。	huòkuǎn kěyǐ fēnqī zhīfù	The price of the goods is payable in instalments.	6
在暴动中，农奴们以赤手空拳对付钢枪铁炮。	zài bàodòng zhōng nóngnú men yǐ chìshǒukōngquán duìfu gāng qiāng tiě pào	In the uprising the serfs fought with bare hands against gunfire.	6
讣闻死亡后发表的通告，有时附有死者简要传记	fùwén sǐwáng hòu fābiǎo de tōnggào yǒushí fù yǒu sǐzhě jiǎnyào zhuànjì	A published notice of a death, sometimes with a brief biography of the deceased.	6
这个商人收到了一船茶叶。	zhège shāngrén shōu dàoliǎo yī chuán cháyè	The merchant had received a shipment of tea.	6
这是一个黑暗无月的夜晚。	zhè shì yī gè hēi’àn wú yuè de yèwǎn	It’s a dark and moonless night.	6
那两个情人只是偷偷地会面。	nà liǎng gè qíngrén zhǐshì tōutōu dì huìmiàn	The two lovers had met only by stealth.	6
这封信只用一张纸写成。	zhè fēng xìn zhǐ yòng yī zhāng zhǐ xiě chéng	The letter was written on a single sheet of paper.	6
这个工人用一个铁箍修桶。	zhège gōngrén yòng yī gè tiěgū xiū tǒng	The worker repaired the barrel with a hoop iron.	6
这个瘤不是恶性的。	zhège liú bùshì èxìng de	The growth is not malignant.	6
这个词是一种野兽的名称。	zhège cí shì yīzhǒng yěshòu de míngchēng	This word denotes a certain kind of animal.	6
这个和尚穿着灰色的僧袍。	zhège héshang chuānzhuó huīsè de sēng páo	This monk wears a gray frock.	6
我不会解这个方程式。	wǒ bùhuì jiě zhège fāngchéngshì	I can’t make this equation come out.	6
神父听取那个青年的忏悔。	shénfu tīngqǔ nàge qīngnián de chànhuǐ	The priest confessed the young man.	6
大卫的家离环球剧院很近。	Dàwèi de jiā lí huánqiú jùyuàn hěn jìn	David’s house is quite close to the Global Theater.	6
一个流浪汉来到门前讨饭吃。	yī gè liúlànghàn láidào ménqián tǎofàn chī	A tramp come to the door and ask for food.	6
从高处往下看， 那些农田像是几何图案。	cóng gāochù wǎng xià kàn nàxiē nóngtián xiàng shì jǐhé tú’àn	Seen from above, the fields looked like a geometrical pattern.	6
用那样的花招欺负一个老太太， 可真卑鄙。	yòng nàyàng de huāzhāo qīfu yī gè lǎotàitai kě zhēn bēibǐ	That was a scurvy trick to play on an old lady.	6
现代战争并不是好玩的事。	xiàndài zhànzhēng bìng bùshì hǎowán de shì	There is not much comedy in modern war.	6
车轮在泥路上留下凹痕。	chēlún zài ní lùshang liúxià āohén	Wheels leave grooves in dirt roads.	6
从一副牌中任意选出一张	cóng yī fù pái zhōng rènyì xuǎnchū yī zhāng	Chose a card at random from the deck.	6
这盘菜配有什锦泡菜。	zhè pán cài pèi yǒu shíjǐn pàocài	The dish was accompanied by a variety of pickles.	6
那老人好容易喘著气说出几句话。	nà lǎorén hǎoróngyì chuǎn zhe qì shuōchū jǐ jù huà	The old man manage to puff out a few words.	6
她多才多艺， 能歌善舞。	tā duōcáiduōyì nénggēshànwǔ	Dancing and singing were among her many accomplishments.	6
英军的阵线被迫后退一段距离。	Yīngjūn de zhènxiàn bèipò hòutuì yī duàn jùlí	The British line was forced back a short distance.	6
一位老式汽车收藏家要弗兰克留神1906年产的煤气前灯。	yī wèi lǎoshì qìchē shōucángjiā yào Fúlánkè liúshén niánchǎn de méiqì qiándēng	A collector of antique cars asked Frank to look out for a1906 gas head lamp.	6
他们中大多数侨民是爱国主义者。	tāmen zhōng dàduōshù qiáomín shì àiguózhǔyì zhě	Most emigrants among them are patriots.	6
那楝房屋下陷约十公分。	nà liàn fángwū xiàxiàn yuē shí gōngfēn	The house has sunk about ten centimeters.	6
一个竭力鼓吹自由主义的政治家	yī gè jiélì gǔchuī zìyóuzhǔyì de zhèngzhìjiā	A politician who beats the drum for liberalism.	6
螺纹接口用于接合电气装置和引出盒的螺纹接口	luówén jiēkǒu yòngyú jiēhé diànqì zhuāngzhì hé yǐnchū hé de luówén jiēkǒu	A threaded electrical fitting to connect a fixture to an outlet box.	6
现在房屋大多用电照明。	xiànzài fángwū dàduō yòng diànzhàomíng	Nowadays, houses are mostly lit by electricity.	6
玩具店就是幼儿的乐园。	wánjù diàn jiùshì yòu’ér de lèyuán	The toy-shop is a fairyland for young children.	6
大街两旁的梧桐树已冒芽长叶。	dàjiē liǎngpáng de wútóng shù yǐ mào yá cháng yè	The plane trees lining the main street are leafing out.	6
这家商店供应各种野营用品。	zhè jiā shāngdiàn gōngyìng gèzhǒng yěyíng yòngpǐn	The shop furnishes everything that is needed for camping.	6
“洁白如雪”是明喻。	jiébái rú xuě shì míngyù	“As white as snow” is a simile.	6
到这时，罗马帝国已日益衰败。	dào zhèshí Luómǎ Dìguó yǐ rìyì shuāibài	By now the power of the Roman Empire was on the wane.	6
海水拍打著悬崖的底部。	hǎishuǐ pāidǎ zhe xuányá de dǐbù	The sea washes the base of the cliffs.	6
他们应该设法阻止价钱上涨。	tāmen yīnggāi shèfǎ zǔzhǐ jiàqian shàngzhǎng	They should try to keep prices from rising.	6
劫匪假装成保安人员进入银行。	jiéfěi jiǎzhuāng chéng bǎo’ānrényuán jìnrù yínháng	The robbers got into the bank by masquerading as security men.	6
滚石不生苔；转业不聚财。	gǔn shí bù shēngtái zhuǎnyè bù jù cái	A rolling stone gathers no moss.	6
占星家声称能预知祸福。	zhānxīngjiā shēngchēng néng yùzhī huòfú	Astrologers claim to be able to divine what the stars hold in store for us.	6
水色宝石的透明度及光洁度	shuǐ sè bǎoshí de tòumíngdù jí guāngjié dù	The transparency and luster of a gem.	6
仆人唱名通报史密斯先生来访。	púrén chàngmíng tōngbào Shǐmìsī xiānsheng láifǎng	The servant announced Mr. Smith.	6
该舰队正在波罗的海演习。	gāi jiànduì zhèngzài Bōluódì Hǎi yǎnxí	The fleet is manoeuvring in the Baltic.	6
空中爆炸炸弹或炮弹的空中爆炸	kōngzhōng bàozhà zhàdàn huò pàodàn de kōngzhōng bàozhà	Explosion of a bomb or shell in the atmosphere.	6
牧师在圣坛前行鞠躬礼。	mùshī zài shèng tán qián xíng jūgōng lǐ	The priest bowed down before the altar.	6
牙科医生常常给患者补牙。	yákēyīshēng chángcháng gěi huànzhě bǔyá	A dentist often has to fill teeth.	6
军队按时沿边界巡逻。	jūnduì ànshí yán biānjiè xúnluó	The army regularly patrol (along) the border.	6
